Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 2:41:20 PM,0.1723, 3.5608, 2.4326,347.7698, 355.6225, 4.5623,0.2778, 3.0826, 2.6577,358.5239, 13.2907, 346.3916,0.2875, 3.1543, 2.6670,340.4729, 7.3821, 320.5752,False,,1
3/27/2018 2:41:20 PM,0.1742, 3.5617, 2.4321,347.2048, 355.9710, 4.1138,0.2814, 3.0828, 2.6594,358.6886, 14.2445, 346.2639,0.2916, 3.1546, 2.6691,340.5885, 8.4695, 320.3988,False,,1
3/27/2018 2:41:20 PM,0.1760, 3.5624, 2.4318,346.6723, 356.5901, 3.5892,0.2855, 3.0836, 2.6613,358.8859, 15.5201, 346.3189,0.2958, 3.1560, 2.6713,340.5249, 9.5999, 320.2885,False,,1
3/27/2018 2:41:20 PM,0.1775, 3.5629, 2.4316,346.2297, 357.2948, 3.2667,0.2887, 3.0839, 2.6632,358.9856, 16.4679, 347.2345,0.2973, 3.1578, 2.6735,340.2545, 9.7694, 320.8149,False,,1
3/27/2018 2:41:20 PM,0.1788, 3.5629, 2.4313,346.1567, 357.7845, 3.2219,0.2894, 3.0843, 2.6661,358.9320, 16.9112, 348.2335,0.2963, 3.1597, 2.6770,339.8139, 9.3813, 321.3760,False,,1
3/27/2018 2:41:20 PM,0.1797, 3.5628, 2.4313,346.1365, 358.1918, 3.0491,0.2876, 3.0858, 2.6697,358.5422, 16.5430, 348.7001,0.2937, 3.1616, 2.6808,339.4264, 8.8104, 321.8062,False,,1
3/27/2018 2:41:20 PM,0.1805, 3.5626, 2.4310,346.3456, 358.1742, 3.1444,0.2827, 3.0883, 2.6726,357.9847, 15.5601, 348.8530,0.2888, 3.1639, 2.6837,339.0205, 7.8367, 322.1326,False,,1
3/27/2018 2:41:20 PM,0.1811, 3.5627, 2.4306,346.4146, 357.9027, 3.1449,0.2757, 3.0915, 2.6747,357.0191, 14.4237, 349.2598,0.2810, 3.1672, 2.6847,338.1432, 6.4983, 322.7085,False,,1
3/27/2018 2:41:20 PM,0.1813, 3.5624, 2.4303,346.4385, 357.4476, 3.0388,0.2663, 3.0948, 2.6765,356.1352, 13.0220, 350.0579,0.2706, 3.1707, 2.6851,337.1655, 4.6421, 323.4521,False,,1
3/27/2018 2:41:20 PM,0.1813, 3.5623, 2.4294,346.6201, 356.9297, 2.9175,0.2546, 3.0986, 2.6774,355.1960, 11.1417, 351.1496,0.2578, 3.1748, 2.6845,336.1099, 2.2595, 324.2533,False,,1
3/27/2018 2:41:21 PM,0.1813, 3.5622, 2.4288,346.7928, 356.3953, 2.9050,0.2429, 3.1045, 2.6783,353.7895, 9.0004, 351.8335,0.2451, 3.1801, 2.6827,334.7785, 359.5748, 325.2830,False,,1
3/27/2018 2:41:21 PM,0.1813, 3.5622, 2.4279,346.8787, 355.8301, 2.9631,0.2322, 3.1118, 2.6789,352.4349, 7.3894, 352.9342,0.2333, 3.1866, 2.6805,333.5414, 357.2126, 326.1763,False,,1
3/27/2018 2:41:21 PM,0.1816, 3.5624, 2.4274,346.9742, 355.3846, 3.0742,0.2231, 3.1186, 2.6801,350.2581, 5.8678, 357.6161,0.2230, 3.1967, 2.6795,330.8309, 355.0561, 328.4207,False,,1
3/27/2018 2:41:21 PM,0.1819, 3.5628, 2.4268,346.9914, 355.0138, 3.1761,0.2148, 3.1276, 2.6808,346.7975, 4.5098, 0.8740,0.2133, 3.2051, 2.6771,327.9932, 352.7881, 331.4084,False,,1
3/27/2018 2:41:21 PM,0.1821, 3.5629, 2.4264,346.8511, 354.6661, 3.1727,0.2058, 3.1333, 2.6795,343.1756, 3.2824, 4.5157,0.2045, 3.2097, 2.6717,325.8319, 350.6602, 333.4977,False,,1
3/27/2018 2:41:21 PM,0.1827, 3.5631, 2.4262,346.8301, 354.3800, 3.0588,0.1949, 3.1354, 2.6797,342.9295, 359.2883, 9.8108,0.1971, 3.2121, 2.6674,324.7325, 347.1092, 336.2913,False,,1
3/27/2018 2:41:21 PM,0.1831, 3.5632, 2.4259,346.7905, 354.3100, 2.9279,0.1895, 3.1355, 2.6831,345.7906, 3.8894, 12.3667,0.1942, 3.2143, 2.6648,324.9692, 346.0503, 333.6160,False,,1
3/27/2018 2:41:21 PM,0.1836, 3.5632, 2.4256,346.7883, 354.4016, 2.7962,0.1919, 3.1360, 2.6849,350.3376, 15.4292, 15.5841,0.1901, 3.2167, 2.6602,323.5359, 344.3801, 336.6041,False,,1
3/27/2018 2:41:21 PM,0.1840, 3.5635, 2.4253,346.7743, 354.5472, 2.7813,0.1846, 3.1317, 2.6914,351.3978, 13.9445, 30.7219,0.1862, 3.2212, 2.6547,321.3865, 342.5859, 337.2228,False,,1
3/27/2018 2:41:21 PM,0.1846, 3.5639, 2.4250,346.6585, 354.6041, 2.8282,0.1733, 3.1467, 2.6869,344.5440, 10.0610, 20.5915,0.1819, 3.2240, 2.6524,320.5851, 339.6855, 340.6846,False,,1
3/27/2018 2:41:21 PM,0.1850, 3.5642, 2.4249,346.5125, 354.6085, 2.8226,0.1642, 3.1505, 2.6855,341.4813, 6.4697, 21.9818,0.1858, 3.2285, 2.6471,318.3376, 339.8497, 342.0514,False,,1
3/27/2018 2:41:21 PM,0.1854, 3.5640, 2.4249,346.6026, 354.6669, 2.7415,0.1539, 3.1515, 2.6904,341.2062, 3.6958, 18.9273,0.1933, 3.2348, 2.6470,316.5850, 341.8659, 341.0450,False,,1
3/27/2018 2:41:21 PM,0.1859, 3.5638, 2.4250,346.7297, 354.8481, 2.6708,0.1390, 3.1547, 2.6923,339.4857, 358.8450, 14.2969,0.2020, 3.2380, 2.6483,315.2591, 343.5443, 342.2425,False,,1
3/27/2018 2:41:21 PM,0.1862, 3.5636, 2.4253,346.9086, 355.0533, 2.6792,0.1211, 3.1560, 2.6954,339.0601, 353.4020, 12.7747,0.2131, 3.2393, 2.6506,314.4479, 345.9346, 342.9417,False,,1
3/27/2018 2:41:21 PM,0.1865, 3.5632, 2.4256,347.1557, 355.2431, 2.6856,0.1029, 3.1587, 2.6971,338.1426, 348.0619, 10.4805,0.2259, 3.2374, 2.6551,314.4154, 349.2014, 344.5681,False,,1
3/27/2018 2:41:21 PM,0.1864, 3.5630, 2.4259,347.2997, 355.3401, 2.8098,0.0870, 3.1613, 2.6958,337.2390, 343.7562, 11.2228,0.2394, 3.2303, 2.6612,316.1666, 353.4752, 347.7395,False,,1
3/27/2018 2:41:21 PM,0.1864, 3.5628, 2.4263,347.3517, 355.3393, 2.8711,0.0753, 3.1638, 2.6952,336.6450, 340.8774, 10.6688,0.2567, 3.2189, 2.6703,320.6483, 0.0938, 346.3061,False,,1
3/27/2018 2:41:21 PM,0.1865, 3.5629, 2.4266,347.3567, 355.2228, 2.7771,0.0674, 3.1653, 2.6947,336.5206, 338.9788, 10.0896,0.2755, 3.2058, 2.6824,327.0311, 6.8820, 341.7703,False,,1
3/27/2018 2:41:22 PM,0.1867, 3.5629, 2.4270,347.3210, 354.9990, 2.7930,0.0632, 3.1655, 2.6937,336.6089, 337.9996, 9.8417,0.2875, 3.1922, 2.6944,333.1969, 10.0807, 342.4821,False,,1
3/27/2018 2:41:22 PM,0.1867, 3.5631, 2.4274,347.1759, 354.7912, 2.8032,0.0633, 3.1646, 2.6940,337.2549, 338.2296, 9.7293,0.2927, 3.1824, 2.6963,334.9256, 10.4974, 347.2723,False,,1
3/27/2018 2:41:22 PM,0.1869, 3.5631, 2.4278,347.1270, 354.6660, 2.6729,0.0664, 3.1621, 2.6945,338.1988, 339.0783, 9.8979,0.2927, 3.1779, 2.6973,335.8528, 9.3031, 350.2975,False,,1
3/27/2018 2:41:22 PM,0.1874, 3.5631, 2.4283,347.1399, 354.5855, 2.7441,0.0709, 3.1604, 2.6934,338.1853, 340.2258, 9.2678,0.2908, 3.1730, 2.6992,338.1529, 8.0612, 352.1273,False,,1
3/27/2018 2:41:22 PM,0.1877, 3.5628, 2.4288,347.2427, 354.6572, 2.7273,0.0752, 3.1601, 2.6940,338.2278, 341.3921, 8.9596,0.2890, 3.1713, 2.6987,338.5270, 7.5876, 350.9848,False,,1
3/27/2018 2:41:22 PM,0.1880, 3.5627, 2.4294,347.3136, 354.7409, 2.7583,0.0790, 3.1602, 2.6946,338.2960, 342.1949, 8.9799,0.2849, 3.1724, 2.6978,337.8799, 6.3914, 352.9279,False,,1
3/27/2018 2:41:22 PM,0.1878, 3.5624, 2.4298,347.4126, 354.7514, 2.7790,0.0815, 3.1603, 2.6938,338.0379, 342.8082, 8.7154,0.2805, 3.1728, 2.6972,337.7198, 5.3874, 352.5950,False,,1
3/27/2018 2:41:22 PM,0.1876, 3.5622, 2.4302,347.5734, 354.7651, 2.7592,0.0839, 3.1611, 2.6933,337.6624, 343.3215, 8.4881,0.2777, 3.1737, 2.6970,337.5579, 4.8688, 352.3589,False,,1
3/27/2018 2:41:22 PM,0.1873, 3.5622, 2.4305,347.6457, 354.7666, 2.8556,0.0852, 3.1604, 2.6927,337.6467, 343.6683, 8.3610,0.2755, 3.1747, 2.6962,337.2343, 4.4983, 352.3468,False,,1
3/27/2018 2:41:22 PM,0.1868, 3.5621, 2.4306,347.7742, 354.7660, 2.9287,0.0853, 3.1592, 2.6932,338.0413, 343.7803, 8.4307,0.2744, 3.1756, 2.6962,337.0044, 4.3299, 352.0894,False,,1
3/27/2018 2:41:22 PM,0.1864, 3.5620, 2.4308,347.7595, 354.7216, 2.9946,0.0849, 3.1578, 2.6942,338.3609, 343.7929, 8.2601,0.2745, 3.1754, 2.6960,336.9272, 4.3073, 352.1607,False,,1
3/27/2018 2:41:22 PM,0.1859, 3.5624, 2.4308,347.6353, 354.6533, 2.9619,0.0842, 3.1566, 2.6942,338.7697, 343.7084, 8.4188,0.2754, 3.1750, 2.6955,336.9432, 4.4276, 352.1776,False,,1
3/27/2018 2:41:22 PM,0.1854, 3.5624, 2.4305,347.6162, 354.5930, 2.9226,0.0830, 3.1563, 2.6948,338.8749, 343.4548, 8.4457,0.2762, 3.1746, 2.6959,337.0516, 4.5848, 352.3967,False,,1
3/27/2018 2:41:22 PM,0.1851, 3.5626, 2.4304,347.5025, 354.5725, 2.9497,0.0824, 3.1577, 2.6963,338.7627, 343.5387, 8.2613,0.2767, 3.1751, 2.6964,336.8910, 4.5770, 353.1327,False,,1
3/27/2018 2:41:22 PM,0.1852, 3.5627, 2.4304,347.4012, 354.5456, 2.8845,0.0822, 3.1582, 2.6967,338.8366, 343.4572, 8.3871,0.2769, 3.1759, 2.6970,336.5818, 4.4948, 353.5825,False,,1
3/27/2018 2:41:22 PM,0.1851, 3.5628, 2.4303,347.3115, 354.5738, 2.7403,0.0812, 3.1600, 2.6974,338.9800, 343.2239, 8.9776,0.2764, 3.1765, 2.6977,336.6053, 4.4339, 353.6108,False,,1
3/27/2018 2:41:22 PM,0.1849, 3.5627, 2.4302,347.3820, 354.5968, 2.7002,0.0808, 3.1621, 2.6970,338.4496, 343.1827, 8.6997,0.2757, 3.1769, 2.6982,336.5889, 4.4404, 353.3214,False,,1
3/27/2018 2:41:23 PM,0.1850, 3.5625, 2.4303,347.4334, 354.5243, 2.8057,0.0802, 3.1647, 2.6967,337.7363, 343.0210, 8.7142,0.2745, 3.1774, 2.6982,336.4534, 4.2072, 353.3834,False,,1
3/27/2018 2:41:23 PM,0.1849, 3.5624, 2.4303,347.4763, 354.4742, 2.6428,0.0794, 3.1654, 2.6959,337.3150, 342.9044, 8.4093,0.2728, 3.1774, 2.6985,336.5060, 4.0406, 353.1634,False,,3
3/27/2018 2:41:23 PM,0.1850, 3.5624, 2.4304,347.5386, 354.4246, 2.5791,0.0785, 3.1654, 2.6956,337.2903, 342.8622, 8.2622,0.2712, 3.1774, 2.6982,336.4481, 3.7436, 353.0385,False,,3
3/27/2018 2:41:23 PM,0.1852, 3.5625, 2.4306,347.4510, 354.4302, 2.5283,0.0779, 3.1636, 2.6950,337.6615, 342.8102, 8.1426,0.2698, 3.1774, 2.6980,336.3624, 3.4998, 353.0089,False,,3
3/27/2018 2:41:23 PM,0.1855, 3.5626, 2.4308,347.2621, 354.4412, 2.3353,0.0770, 3.1625, 2.6948,337.9069, 342.6657, 8.1633,0.2685, 3.1770, 2.6983,336.4875, 3.2267, 353.0841,False,,3
3/27/2018 2:41:23 PM,0.1857, 3.5626, 2.4309,347.3265, 354.3980, 2.2481,0.0768, 3.1622, 2.6942,337.7359, 342.7445, 7.7303,0.2669, 3.1775, 2.6989,336.3728, 2.8970, 353.4613,False,,3
3/27/2018 2:41:23 PM,0.1858, 3.5623, 2.4311,347.3837, 354.3530, 2.2006,0.0752, 3.1624, 2.6938,337.5645, 342.3611, 7.6783,0.2651, 3.1785, 2.7000,335.9905, 2.3842, 354.1975,False,,3
3/27/2018 2:41:23 PM,0.1855, 3.5624, 2.4311,347.3581, 354.2869, 2.2036,0.0728, 3.1642, 2.6930,337.0561, 341.7967, 7.6911,0.2637, 3.1796, 2.7011,335.9823, 2.0350, 354.1059,False,,3
3/27/2018 2:41:23 PM,0.1856, 3.5622, 2.4312,347.4629, 354.2494, 2.2342,0.0718, 3.1658, 2.6933,336.5683, 341.4597, 7.4889,0.2633, 3.1812, 2.7029,335.8299, 1.9660, 354.0927,False,,3
3/27/2018 2:41:23 PM,0.1855, 3.5621, 2.4312,347.5643, 354.2396, 2.2373,0.0710, 3.1666, 2.6940,336.5785, 341.1866, 7.7264,0.2627, 3.1828, 2.7033,335.4903, 1.8394, 354.2710,False,,3
3/27/2018 2:41:23 PM,0.1854, 3.5621, 2.4312,347.6275, 354.2411, 2.2690,0.0713, 3.1665, 2.6941,336.6339, 341.1993, 7.7839,0.2626, 3.1836, 2.7033,335.4296, 1.7604, 354.1410,False,,3
3/27/2018 2:41:23 PM,0.1853, 3.5620, 2.4313,347.6857, 354.2781, 2.3430,0.0721, 3.1659, 2.6947,336.8696, 341.3867, 7.9109,0.2627, 3.1841, 2.7035,335.3337, 1.7461, 354.1749,False,,3
3/27/2018 2:41:23 PM,0.1852, 3.5622, 2.4314,347.6094, 354.2747, 2.4995,0.0731, 3.1655, 2.6951,336.7913, 341.6745, 7.6230,0.2629, 3.1838, 2.7030,335.3043, 1.7079, 354.1306,False,,3
3/27/2018 2:41:23 PM,0.7577, 3.2905, 2.5815,350.9532, 355.1801, 358.2299,0.6201, 2.8849, 2.8189,339.5109, 343.7968, 2.6422,0.8106, 2.8893, 2.8269,339.4595, 3.3461, 350.3229,False,,3
3/27/2018 2:41:23 PM,0.9017, 3.3144, 2.7271,353.5650, 355.2963, 355.3664,0.7467, 2.9061, 2.9469,340.9319, 345.2691, 358.6741,0.9374, 2.8993, 2.9546,342.4753, 4.5444, 347.6343,False,,3
3/27/2018 2:41:23 PM,0.9765, 3.3211, 1.8027,355.0643, 355.0855, 354.2312,0.8124, 2.9287, 2.0119,337.9408, 346.0502, 356.9624,1.0036, 2.9007, 2.0202,343.8777, 5.1090, 346.5505,False,,3
3/27/2018 2:41:23 PM,0.9886, 3.3220, 1.8146,355.6288, 354.8818, 353.9822,0.8251, 2.9724, 2.0211,325.6395, 347.7733, 354.5859,1.0158, 2.9018, 2.0305,343.9774, 5.3890, 346.1440,False,,3
3/27/2018 2:41:23 PM,0.9886, 3.3223, 1.8150,355.2900, 354.8568, 353.9569,0.8259, 3.0196, 2.0263,314.3765, 351.3710, 346.6456,1.0181, 2.9036, 2.0292,343.1948, 5.7405, 345.9549,False,,3
3/27/2018 2:41:24 PM,0.9886, 3.3218, 1.8144,355.4982, 354.7379, 353.9171,0.8169, 3.0499, 2.0496,316.2165, 352.7022, 348.3696,1.0191, 2.9035, 2.0280,343.0034, 6.0443, 345.8532,False,,3
3/27/2018 2:41:24 PM,0.9887, 3.3215, 1.8134,355.9727, 354.7752, 353.8311,0.7995, 3.0774, 2.0733,318.4424, 350.4143, 348.2898,1.0181, 2.9027, 2.0275,343.3226, 5.7968, 345.3896,False,,3
3/27/2018 2:41:24 PM,0.9893, 3.3213, 1.8123,356.2283, 354.8355, 353.8167,0.7771, 3.1109, 2.0814,314.4984, 343.2571, 349.9174,1.0162, 2.9035, 2.0247,343.0061, 5.1722, 345.6209,False,,3
3/27/2018 2:41:24 PM,0.9708, 3.3250, 1.8108,355.9814, 354.9543, 353.8037,0.7501, 3.1354, 2.0866,310.5830, 341.5690, 345.2056,0.9975, 2.9093, 2.0220,342.0850, 4.7503, 345.8615,True,367 255 0 255,3
3/27/2018 2:41:24 PM,0.6903, 3.3658, 1.8220,352.2442, 354.5494, 357.4966,0.4778, 3.1850, 2.1103,309.0052, 335.9962, 355.2024,0.7403, 2.9663, 2.0571,337.7957, 2.9241, 349.2820,True,0 255 0 255,3
3/27/2018 2:41:24 PM,0.4819, 3.3927, 1.8771,349.5396, 354.5704, 0.1273,0.2860, 3.2115, 2.1603,305.6652, 333.2985, 0.9404,0.5484, 3.0055, 2.1268,334.8615, 2.0641, 351.1561,False,,3
3/27/2018 2:41:24 PM,0.3553, 3.4229, 1.9748,347.9253, 355.2875, 1.4786,0.1844, 3.2272, 2.2421,302.0222, 335.4234, 5.3925,0.4316, 3.0423, 2.2294,333.0820, 2.4090, 350.5565,False,,3
3/27/2018 2:41:24 PM,0.2986, 3.4632, 2.1086,346.6290, 356.2810, 1.7529,0.1580, 3.2391, 2.3547,299.5439, 343.8839, 3.1027,0.3776, 3.0858, 2.3596,331.7652, 3.3932, 348.1439,False,,3
3/27/2018 2:41:24 PM,0.2595, 3.5000, 2.2273,346.4501, 357.1906, 1.1150,0.1511, 3.2380, 2.4570,302.4350, 356.0156, 1.4372,0.3391, 3.1262, 2.4744,330.2083, 3.9927, 347.2714,False,,3
3/27/2018 2:41:24 PM,0.2292, 3.5284, 2.3195,346.6076, 357.8780, 0.2073,0.1521, 3.2233, 2.5406,311.4140, 7.0617, 1.4805,0.3104, 3.1590, 2.5633,328.5176, 5.1792, 345.5054,False,,3
3/27/2018 2:41:24 PM,0.2082, 3.5474, 2.3850,346.5672, 358.6242, 0.2930,0.1556, 3.2062, 2.6023,321.7416, 11.7861, 1.5742,0.2885, 3.1824, 2.6254,327.1936, 5.9438, 343.8383,False,,3
3/27/2018 2:41:24 PM,0.1956, 3.5583, 2.4237,346.8289, 358.8498, 0.4227,0.1580, 3.1873, 2.6324,330.8221, 13.3857, 4.4798,0.2714, 3.1973, 2.6618,326.2197, 5.6724, 342.3890,False,,3
3/27/2018 2:41:24 PM,0.1917, 3.5608, 2.4355,347.5274, 358.5818, 0.4660,0.1662, 3.1751, 2.6404,335.8242, 16.9525, 2.2655,0.2589, 3.2032, 2.6720,325.4004, 3.6526, 341.6107,False,,3
3/27/2018 2:41:24 PM,0.1910, 3.5599, 2.4363,348.0892, 358.0593, 0.6719,0.1702, 3.1735, 2.6381,335.7788, 17.8535, 358.6559,0.2480, 3.2067, 2.6702,324.1726, 0.7498, 341.7165,False,,3
3/27/2018 2:41:24 PM,0.1900, 3.5595, 2.4368,348.6356, 357.4291, 0.7620,0.1668, 3.1763, 2.6392,335.6509, 14.9320, 3.1354,0.2385, 3.2119, 2.6709,323.3233, 358.5721, 341.2010,False,,3
3/27/2018 2:41:24 PM,0.1893, 3.5594, 2.4372,348.8886, 356.7752, 0.9847,0.1578, 3.1751, 2.6444,337.8965, 8.9831, 2.5369,0.2357, 3.2161, 2.6705,322.6624, 358.3748, 340.4237,False,,3
3/27/2018 2:41:24 PM,0.1885, 3.5593, 2.4374,348.9407, 356.0835, 1.3120,0.1493, 3.1759, 2.6519,338.8327, 3.8646, 8.1138,0.2324, 3.2154, 2.6706,322.8204, 358.4662, 342.3500,False,,3
3/27/2018 2:41:24 PM,0.1878, 3.5593, 2.4372,348.8676, 355.5103, 1.5743,0.1438, 3.1847, 2.6521,334.2166, 1.2351, 1.0402,0.2327, 3.2118, 2.6719,323.9688, 359.5825, 342.0133,False,,3
3/27/2018 2:41:25 PM,0.1869, 3.5596, 2.4367,348.5651, 355.1301, 1.7751,0.1355, 3.1940, 2.6510,329.2059, 357.9022, 356.5942,0.2410, 3.2113, 2.6732,323.9781, 3.9637, 335.3069,False,,3
3/27/2018 2:41:25 PM,0.1863, 3.5600, 2.4359,348.3759, 354.8698, 1.9857,0.1283, 3.2000, 2.6515,327.4407, 356.6534, 357.9729,0.2439, 3.2133, 2.6694,322.0197, 6.4646, 334.1184,False,,3
3/27/2018 2:41:25 PM,0.1861, 3.5603, 2.4351,348.1282, 354.8011, 2.1058,0.1276, 3.2024, 2.6531,327.3920, 358.4112, 2.0322,0.2334, 3.2125, 2.6683,321.5867, 357.4928, 344.9471,False,,3
3/27/2018 2:41:25 PM,0.1859, 3.5606, 2.4340,347.9185, 354.8664, 2.1586,0.1251, 3.2047, 2.6530,327.0422, 358.1582, 3.9869,0.2356, 3.2142, 2.6712,321.5944, 356.2945, 348.2053,False,,3
3/27/2018 2:41:25 PM,0.1860, 3.5607, 2.4330,347.7554, 355.0887, 2.1421,0.1277, 3.2069, 2.6500,324.9860, 0.3619, 3.9522,0.2411, 3.2165, 2.6723,321.7319, 357.9343, 347.6837,False,,3
3/27/2018 2:41:25 PM,0.1865, 3.5611, 2.4324,347.6345, 355.3925, 2.0485,0.1304, 3.2088, 2.6475,323.7730, 1.2387, 2.3829,0.2464, 3.2160, 2.6754,323.1544, 359.9851, 347.4867,False,,3
3/27/2018 2:41:25 PM,0.1867, 3.5610, 2.4321,347.5971, 355.5701, 1.9908,0.1309, 3.2095, 2.6473,323.5494, 1.1412, 2.7946,0.2504, 3.2164, 2.6782,323.5036, 2.4942, 347.5663,False,,3
3/27/2018 2:41:25 PM,0.1869, 3.5608, 2.4318,347.7742, 355.5546, 1.9730,0.1286, 3.2108, 2.6440,323.3097, 359.7679, 8.5785,0.2531, 3.2196, 2.6777,322.4423, 4.0702, 346.7037,False,,3
3/27/2018 2:41:25 PM,0.1872, 3.5608, 2.4314,347.8376, 355.4975, 1.9659,0.1194, 3.2102, 2.6384,322.0454, 354.7907, 19.9801,0.2555, 3.2240, 2.6738,320.8456, 5.6240, 347.3076,False,,3
3/27/2018 2:41:25 PM,0.1875, 3.5608, 2.4308,347.9763, 355.5435, 1.9758,0.1203, 3.2157, 2.6426,319.9760, 353.9713, 7.8270,0.2640, 3.2292, 2.6681,319.2066, 10.6184, 345.3747,False,,3
3/27/2018 2:41:25 PM,0.1876, 3.5607, 2.4300,348.0952, 355.6376, 2.0970,0.1133, 3.2149, 2.6474,320.6667, 350.1896, 7.2186,0.2699, 3.2308, 2.6623,318.1191, 14.0101, 342.9835,False,,3
3/27/2018 2:41:25 PM,0.1877, 3.5607, 2.4293,348.1476, 355.6218, 2.3728,0.1087, 3.2149, 2.6490,320.5264, 348.5306, 2.4821,0.2658, 3.2299, 2.6546,314.5010, 11.4941, 347.9277,False,,3
3/27/2018 2:41:25 PM,0.1878, 3.5606, 2.4286,348.1584, 355.7007, 2.3986,0.0977, 3.2248, 2.6489,318.2003, 341.6492, 355.8031,0.2633, 3.2288, 2.6462,309.0688, 9.1750, 346.4260,False,,3
3/27/2018 2:41:25 PM,0.1883, 3.5606, 2.4278,348.2859, 355.8577, 2.5160,0.0846, 3.2348, 2.6370,312.0133, 331.6381, 354.8038,0.2614, 3.2272, 2.6407,307.3950, 6.9314, 346.0501,False,,3
3/27/2018 2:41:25 PM,0.1889, 3.5608, 2.4272,348.1074, 355.8422, 2.6699,0.0756, 3.2379, 2.6195,305.1801, 319.0571, 27.6587,0.2634, 3.2212, 2.6384,312.1148, 4.4592, 343.2368,False,,3
3/27/2018 2:41:25 PM,0.1894, 3.5609, 2.4262,347.9902, 355.9018, 2.2570,0.0718, 3.2286, 2.6095,299.8239, 315.6010, 54.9784,0.2658, 3.2141, 2.6430,317.1900, 4.7819, 332.0063,False,,3
3/27/2018 2:41:25 PM,0.1901, 3.5608, 2.4249,348.0514, 355.8951, 2.0604,0.0798, 3.2253, 2.6172,298.9016, 334.4844, 28.0844,0.2682, 3.2079, 2.6427,319.1062, 5.5260, 330.6784,False,,3
3/27/2018 2:41:25 PM,0.1907, 3.5608, 2.4236,347.9502, 355.9155, 1.9467,0.0844, 3.2079, 2.6373,316.1547, 347.5419, 31.6863,0.2640, 3.2072, 2.6404,318.6956, 3.3640, 332.9822,False,,3
3/27/2018 2:41:26 PM,0.1916, 3.5609, 2.4229,347.6947, 355.9238, 1.8658,0.0915, 3.1898, 2.6496,330.2874, 350.8539, 27.2522,0.2567, 3.2069, 2.6407,318.7994, 0.4641, 337.6387,False,,3
3/27/2018 2:41:26 PM,0.1925, 3.5607, 2.4218,347.7579, 355.9193, 1.9374,0.0914, 3.1831, 2.6474,332.3925, 348.2747, 19.2739,0.2546, 3.2055, 2.6430,319.4423, 0.8776, 344.1071,False,,3
3/27/2018 2:41:26 PM,0.1933, 3.5604, 2.4208,347.9328, 355.8536, 1.9654,0.1015, 3.1718, 2.6538,334.9810, 351.3446, 7.6082,0.2529, 3.1997, 2.6527,322.9063, 1.3236, 348.4544,False,,3
3/27/2018 2:41:26 PM,0.1940, 3.5606, 2.4203,347.8181, 355.7333, 1.9956,0.1071, 3.1563, 2.6638,341.7973, 353.8382, 4.7483,0.2504, 3.1871, 2.6674,329.2489, 0.3682, 353.7892,False,,3
3/27/2018 2:41:26 PM,0.1948, 3.5608, 2.4198,347.7547, 355.6243, 1.9663,0.1089, 3.1473, 2.6655,344.3863, 353.8587, 359.8986,0.2520, 3.1744, 2.6740,334.4366, 0.2004, 351.5332,False,,3
3/27/2018 2:41:26 PM,0.1954, 3.5613, 2.4195,347.5690, 355.4643, 1.9661,0.0920, 3.1512, 2.6601,341.5421, 345.7683, 359.2811,0.2605, 3.1723, 2.6716,333.7497, 3.3603, 352.9774,False,,3
3/27/2018 2:41:26 PM,0.1961, 3.5618, 2.4197,347.2440, 355.3805, 1.9586,0.0722, 3.1674, 2.6445,332.3022, 336.2365, 2.9423,0.2708, 3.1708, 2.6690,333.9933, 6.8541, 348.4483,False,,3
3/27/2018 2:41:26 PM,0.1969, 3.5624, 2.4195,347.1642, 355.3747, 2.0583,0.0703, 3.1734, 2.6360,327.9689, 336.8599, 8.1533,0.2775, 3.1611, 2.6734,339.3658, 7.5777, 338.4580,False,,3
3/27/2018 2:41:26 PM,0.1975, 3.5625, 2.4192,347.2382, 355.4626, 2.0209,0.0700, 3.1689, 2.6331,328.8231, 337.1521, 12.1338,0.2867, 3.1485, 2.6771,344.9251, 8.5397, 326.6700,False,,3
3/27/2018 2:41:26 PM,0.1983, 3.5624, 2.4190,347.3099, 355.6546, 1.9411,0.0702, 3.1497, 2.6338,337.9660, 339.0706, 21.1703,0.2977, 3.1359, 2.6807,349.7649, 10.1446, 311.1869,False,,3
3/27/2018 2:41:26 PM,0.1990, 3.5629, 2.4188,347.1863, 356.0518, 1.6953,0.0758, 3.1377, 2.6328,340.9541, 341.7798, 24.0837,0.2991, 3.1242, 2.6826,354.8159, 11.2920, 304.6615,False,,3
3/27/2018 2:41:26 PM,0.1999, 3.5633, 2.4186,347.0712, 356.5842, 1.5110,0.0790, 3.1342, 2.6372,342.3339, 343.1606, 24.6187,0.2891, 3.1215, 2.6797,356.1584, 5.7345, 314.3421,False,,3
